injury_id,injury_name,injury_location,severity,acute_phase_days,avoid_exercises,phase1_rehab,phase2_rehab,phase3_return,recommended_supplements,red_flags,source
69,De Quervain's Tenosynovitis — Variant 44,Wrist / Thumb,Mild,7-21,"Barbell wrist curl, Farmer's carry, Kettlebell swing, Wrist-intensive gripping, Heavy deadlift.","Thumb spica splint, Finkelstein stretch (gentle), Ice, Activity modification.","Radial nerve gliding, Thumb opposition exercises, Wrist stabilization, Light grip work.","Gradual grip loading, Trap bar deadlift (neutral), All exercises with wrist support.","Vitamin B6 100mg, Fish oil 2g, Collagen 10g",Failure to improve with conservative care → ultrasound-guided cortisone injection.,AAOS De Quervain's Guidelines; Journal of Hand Surgery 2021 (variant)
70,Overtraining Syndrome (OTS) — Variant 45,Systemic,Mild,Recovery: 2-6 weeks,"High-intensity training, Competition, Heavy lifting, All structured training initially.","Complete rest or active recovery only (leisurely walking, yoga). Sleep 9+ hours. Caloric surplus.","Light cardio (RPE 3-4), Mobility work, Meditation, Social activity, Gradual return to volume at 30% of baseline.","Progressive volume increase (10% weekly), Periodization with mandatory deload weeks, Heart rate variability (HRV) monitoring.","Ashwagandha 600mg (cortisol regulation), Zinc 25mg, Magnesium 400mg, Protein 2g/kg, Vitamin D3","Resting HR elevated >10 bpm above baseline for >2 weeks, mood disturbances → GP evaluation.",European College of Sport Science OTS Consensus 2012; BJSM 2020 Update (variant)
71,Plantar Fasciitis — Variant 46,Foot / Heel,Severe,Chronic — ongoing management,"Running (barefoot/minimalist), Box jumps, Skipping, Walking on hard surfaces (prolonged), Calf raise on incline.","Plantar fascia stretch (3×30s morning), Towel toe curls, Calf eccentric drops, Ice rolling (frozen water bottle).","Intrinsic foot strengthening (short foot exercise), Calf raise eccentric (3×15), Single-leg balance, Low-impact cardio.","Running with supportive footwear, Gradual mileage increase (10% rule), Soft surface running.","Vitamin D3 2000 IU, Magnesium 400mg, Collagen 10g","Sharp pain at night, sudden worsening → rule out stress fracture or nerve entrapment.",NICE Plantar Fasciitis Guidelines; Journal of Foot and Ankle Research 2022 (variant)
72,"ACL Tear (Post-surgical Rehab, Phase 1) — Variant 47",Knee,Moderate,0-14 post-op,"All weight-bearing exercise. No pivoting, cutting, jumping. No open-chain knee extension 0-60°.","Quad sets, Straight leg raise, Ankle pumps, Heel prop extension stretching, Cryotherapy, Gait training with crutches.","Stationary cycling (week 4-6), Leg press 0-60° (week 6), Pool walking, Progressive weight-bearing.","Return to sport at 9-12 months minimum. Single-leg squat, Hop tests (LSI >90%), Agility drills.","Vitamin C 1000mg, Zinc 25mg, Protein 1.8-2.2g/kg/day, Creatine 5g (muscle preservation)","Sudden effusion increase, fever, wound infection → immediate surgical consult.",JOSPT ACL Post-op Rehab Guidelines 2021; NICE Guidelines (variant)
73,Cervical Spondylosis (Neck Stiffness) — Variant 48,Neck / Cervical Spine,Severe,Chronic — activity modification,"Behind-neck press, Behind-neck lat pull-down, Neck bridges, Headstand, Heavy shrugs, Overhead pressing with neck tension.","Cervical retraction (chin tucks, 10×10/day), Neck rotation (active), Scapular squeezes, Heat, Postural correction.","Band face pull, Prone cobra, Deep neck flexor strengthening, Chin tuck on incline, Gentle cardio.","Shoulder press (neutral, dumbbell), Pull-up, Deadlift with neutral neck, Gradual heavy loading.","Vitamin D3 3000 IU, Calcium 1000mg, Omega-3 2g, B12 1000mcg","Arm weakness, electric shock sensation on neck flexion (Lhermitte sign) → MRI immediately.",NICE Cervical Spondylosis Guidelines; Spine Journal 2022 (variant)
74,Tibial Stress Fracture — Variant 49,Shin / Tibia,Mild,21-42 (non-weight-bearing),"All running, Jumping, High-impact cardio, Leg press (loaded), Calf raise. Crutches if pain on walking.","Non-weight-bearing with crutches (4-6 weeks), Pool running, Seated upper body work, Bone loading protocol (gentle).","Progressive weight-bearing, Pool jogging, Stationary cycling, Elliptical (low impact).",Return-to-run programme at 8-12 weeks (subject to X-ray/MRI clearance). Calcium and Vitamin D optimisation.,"Calcium 1500mg, Vitamin D3 4000 IU, Vitamin K2 100mcg, Magnesium 400mg","Night pain, bilateral tibial pain → DEXA scan (bone density), RED-S assessment.",BJSM Stress Fracture Management 2019; Military Orthopaedic Guidelines (variant)
75,Scoliosis (Mild — Exercise Modification) — Variant 50,Spine,Severe,Ongoing management,"Heavy asymmetric loading (e.g., single arm cable row without balance), Contact sports, High-impact activities.","Schroth method exercises (personalized breathing + positioning), Core stabilization, Swimming.","Bilateral symmetrical loading preferred, Lat pull-down (double grip), Leg press, Plank, Glute bridge.","Deadlift with monitoring, Squat, Pull-up (avoid over-rotation). Regular physio check-ins.","Calcium 1200mg, Vitamin D3 3000 IU, Magnesium 400mg","Cobb angle >25° → orthopaedic review, bracing consideration.",SOSORT Scoliosis Exercise Guidelines 2022 (variant)
76,De Quervain's Tenosynovitis — Variant 51,Wrist / Thumb,Severe,7-21,"Barbell wrist curl, Farmer's carry, Kettlebell swing, Wrist-intensive gripping, Heavy deadlift.","Thumb spica splint, Finkelstein stretch (gentle), Ice, Activity modification.","Radial nerve gliding, Thumb opposition exercises, Wrist stabilization, Light grip work.","Gradual grip loading, Trap bar deadlift (neutral), All exercises with wrist support.","Vitamin B6 100mg, Fish oil 2g, Collagen 10g",Failure to improve with conservative care → ultrasound-guided cortisone injection.,AAOS De Quervain's Guidelines; Journal of Hand Surgery 2021 (variant)
77,Shoulder Impingement Syndrome — Variant 52,Shoulder,Moderate,7-21,"Overhead press, Lateral raise above 90°, Upright row, Behind-neck exercises, Dips (wide arm), Swimming (freestyle intensive).","Scapular mobilization, Posterior capsule stretch (cross-body), Sleeper stretch, Anti-inflammatory protocol.","Rotator cuff strengthening (internal/external rotation), Serratus anterior activation, Row variations.","Landmine press, Cable shoulder press, Incline bench press, DB lateral raise (below 90°).","Omega-3 2-3g, Vitamin D3 2000 IU, Magnesium 300mg","Night pain, significant loss of ROM → cortisone + imaging.",Neer Classification; British Shoulder & Elbow Society Guidelines (variant)
78,Achilles Tendinopathy (Mid-portion) — Variant 53,Achilles / Calf,Mild,Chronic — load management,"Running (initially), Plyometrics, Box jumps, Skipping rope, Sprint, Deep calf raise (early phase).","Isometric calf raise (5×45s, 2-3×/day), No passive stretching (acute phase), Ice after loading.","Alfredson eccentric heel drop protocol (3×15, twice daily on step), Concentric calf raise, Swimming.","Running (flat, slow pace), Plyometric introduction at 12 weeks, Full sport at 16-20 weeks.","Collagen 15g + Vitamin C 50mg (pre-exercise), Omega-3 3g, Magnesium 400mg","Palpable gap, sudden onset severe pain → Thompson test → rule out complete rupture.",Alfredson Protocol; NICE Achilles Tendinopathy Guidelines; BJSM 2021 (variant)
79,Overtraining Syndrome (OTS) — Variant 54,Systemic,Severe,Recovery: 2-6 weeks,"High-intensity training, Competition, Heavy lifting, All structured training initially.","Complete rest or active recovery only (leisurely walking, yoga). Sleep 9+ hours. Caloric surplus.","Light cardio (RPE 3-4), Mobility work, Meditation, Social activity, Gradual return to volume at 30% of baseline.","Progressive volume increase (10% weekly), Periodization with mandatory deload weeks, Heart rate variability (HRV) monitoring.","Ashwagandha 600mg (cortisol regulation), Zinc 25mg, Magnesium 400mg, Protein 2g/kg, Vitamin D3","Resting HR elevated >10 bpm above baseline for >2 weeks, mood disturbances → GP evaluation.",European College of Sport Science OTS Consensus 2012; BJSM 2020 Update (variant)
80,Pectoral Strain (Bench Press Injury) — Variant 55,Chest / Pectoralis,Mild,5-14,"Bench press, Dips, Push-up, Chest fly, Cable crossover, Pull-over, Heavy overhead press.","Ice, Arm sling if Grade II, Pendulum exercises, Gentle shoulder ROM, No active pectoral loading.","Band pull-apart, Face pull, Low cable row, Scapular retraction, Light shoulder press.","Push-up, Incline DB press (light), Cable chest fly, Bench press. Gradual at 6-12 weeks.","Protein 2.2g/kg, Collagen 10g, Fish oil 3g, Vitamin C 1g",Sudden pain + pop + loss of contour → pectoral avulsion → surgical evaluation urgently.,AAOS Pectoral Injury Protocol; Sports Health Journal 2021 (variant)
81,Sciatica (Piriformis Syndrome) — Variant 56,Lower Back / Glute / Leg,Severe,3-14,"Heavy squats, Lunges (deep), Running (until pain-free), Seated leg curl, Hip adduction machine.","Piriformis stretch (figure-4) 3×30s, Supine hamstring stretch, Hip external rotation stretch, Walking 15-20 min.","Clamshell (3×15), Side-lying hip abduction, Glute bridge (single-leg progression), Lateral band walk.","Bodyweight squat, Step-up, Bulgarian split squat (light), Gradual running reintroduction.","Magnesium 400mg, Vitamin D3 2000 IU, Fish oil 2g",MRI to rule out true disc herniation.,JOSPT Piriformis Syndrome Clinical Practice Guidelines 2021 (variant)
82,Hamstring Strain (Grade I-II) — Variant 57,Hamstring,Mild,5-14,"Sprint, Running, Nordic curl, Romanian deadlift (heavy), Leg curl (early), Stiff-leg deadlift, Yoga forward folds.","RICE, Prone lying, Submaximal isometric hamstring contraction, Gentle hip hinge (pain-free range), Pool walking.","Nordic hamstring eccentric (3×6 — start assisted), Stability ball curl, Romanian deadlift (bodyweight), Bridging.","Jogging, Sprint progression, Nordic curls (unassisted), Full training at 6-12 weeks.","Protein 2.2g/kg, Omega-3 3g, Creatine 5g, Vitamin D3 2000 IU","Proximal avulsion (ischial tuberosity), bruising tracking down leg → imaging required.",Askling Hamstring Protocol; BJSM Hamstring Injury Guidelines 2020 (variant)
83,Carpal Tunnel Syndrome — Variant 58,Wrist,Severe,Chronic — ergonomic management,"Barbell wrist curl, Heavy grip work, Push-ups on extended wrist, Dips, Plank (standard), Heavy deadlift (hook grip).","Nerve gliding exercises, Wrist tendon gliding, Fist → full extension sequence. Neutral wrist splinting at night.","Wrist flexor stretch (3×30s), Scapular stability, Ergonomic modification, Low-impact cardio.","Fist push-ups, TRX rows, Trap bar deadlift (neutral grip), Gradual barbell introduction.","Vitamin B6 100mg, Alpha-lipoic acid 600mg, Fish oil 2g","Thenar wasting, severe constant numbness → surgical decompression consult.",NICE CTS Guidelines 2023; American Academy of Orthopaedic Surgeons (variant)
84,Patellofemoral Pain Syndrome (Runner's Knee) — Variant 59,Knee,Severe,3-7,"Deep squats (beyond 90°), Leg extension machine, Running downhill, Lunges, Stair climbing, Plyometrics.","RICE protocol, VMO activation (quad sets), Straight leg raise, Short-arc quad, Non-weight-bearing cycling.","Mini squat (0-45°), Step-up (low), Hip strengthening (abductors/external rotators), Terminal knee extension.","Wall squat, Bulgarian split squat, Running at flat surface (progressive mileage), Box squat.","Glucosamine 1500mg + Chondroitin 1200mg, Collagen 10g + Vitamin C, Omega-3 2g","Locking, giving way, significant swelling → MRI to rule out meniscal tear.",British Journal of Sports Medicine PFPS Guidelines 2022 (variant)
85,Patellar Tendinopathy (Jumper's Knee) — Variant 60,Knee,Severe,Chronic — load management,"Plyometrics, Heavy loaded squats, Leg extension machine, Running, Jumping rope, Hill sprints.","Isometric leg press or wall squat (70% MVC, 5×45s, 5×/week). Ice after activity. Load reduction 50%.","Isotonic loading: Slow squats (3s concentric/3s eccentric), Spanish squat, Leg press. Gradual loading.","Reactive loading: Box jump (low), Running reintroduction, Sport-specific drills at 12-16 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g, Protein >1.8g/kg","Central tendon thickening, partial rupture on ultrasound → physio-guided management.",Cook & Purdam Tendinopathy Model; BJSM Patellar Tendinopathy Review 2022 (variant)
86,Overtraining Syndrome (OTS) — Variant 61,Systemic,Mild,Recovery: 2-6 weeks,"High-intensity training, Competition, Heavy lifting, All structured training initially.","Complete rest or active recovery only (leisurely walking, yoga). Sleep 9+ hours. Caloric surplus.","Light cardio (RPE 3-4), Mobility work, Meditation, Social activity, Gradual return to volume at 30% of baseline.","Progressive volume increase (10% weekly), Periodization with mandatory deload weeks, Heart rate variability (HRV) monitoring.","Ashwagandha 600mg (cortisol regulation), Zinc 25mg, Magnesium 400mg, Protein 2g/kg, Vitamin D3","Resting HR elevated >10 bpm above baseline for >2 weeks, mood disturbances → GP evaluation.",European College of Sport Science OTS Consensus 2012; BJSM 2020 Update (variant)
87,Hip Flexor Strain — Variant 62,Hip,Mild,3-10,"Running, Sprint, Leg raise, Sit-up, Cycling (high resistance), Step-up, Deep lunge.","Standing hip flexor stretch (3×30s), Supine knee to chest, Heat after 48h, Gentle walking.","Bridge, Clamshell, Side-lying hip abduction, Dead bug (gentle), Stationary cycling (low resistance).","Lunge, Step-up, Squat, Running reintroduction at 4-6 weeks.","Protein 2g/kg, Omega-3 2g, Turmeric 500mg","Snapping hip, pain with all movements → MRI to rule out labral tear.",Physiopedia Hip Flexor Strain; ACSM Sports Injury Guidelines (variant)
88,Plantar Fasciitis — Variant 63,Foot / Heel,Severe,Chronic — ongoing management,"Running (barefoot/minimalist), Box jumps, Skipping, Walking on hard surfaces (prolonged), Calf raise on incline.","Plantar fascia stretch (3×30s morning), Towel toe curls, Calf eccentric drops, Ice rolling (frozen water bottle).","Intrinsic foot strengthening (short foot exercise), Calf raise eccentric (3×15), Single-leg balance, Low-impact cardio.","Running with supportive footwear, Gradual mileage increase (10% rule), Soft surface running.","Vitamin D3 2000 IU, Magnesium 400mg, Collagen 10g","Sharp pain at night, sudden worsening → rule out stress fracture or nerve entrapment.",NICE Plantar Fasciitis Guidelines; Journal of Foot and Ankle Research 2022 (variant)
89,Plantar Fasciitis — Variant 64,Foot / Heel,Moderate,Chronic — ongoing management,"Running (barefoot/minimalist), Box jumps, Skipping, Walking on hard surfaces (prolonged), Calf raise on incline.","Plantar fascia stretch (3×30s morning), Towel toe curls, Calf eccentric drops, Ice rolling (frozen water bottle).","Intrinsic foot strengthening (short foot exercise), Calf raise eccentric (3×15), Single-leg balance, Low-impact cardio.","Running with supportive footwear, Gradual mileage increase (10% rule), Soft surface running.","Vitamin D3 2000 IU, Magnesium 400mg, Collagen 10g","Sharp pain at night, sudden worsening → rule out stress fracture or nerve entrapment.",NICE Plantar Fasciitis Guidelines; Journal of Foot and Ankle Research 2022 (variant)
90,Patellar Tendinopathy (Jumper's Knee) — Variant 65,Knee,Severe,Chronic — load management,"Plyometrics, Heavy loaded squats, Leg extension machine, Running, Jumping rope, Hill sprints.","Isometric leg press or wall squat (70% MVC, 5×45s, 5×/week). Ice after activity. Load reduction 50%.","Isotonic loading: Slow squats (3s concentric/3s eccentric), Spanish squat, Leg press. Gradual loading.","Reactive loading: Box jump (low), Running reintroduction, Sport-specific drills at 12-16 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g, Protein >1.8g/kg","Central tendon thickening, partial rupture on ultrasound → physio-guided management.",Cook & Purdam Tendinopathy Model; BJSM Patellar Tendinopathy Review 2022 (variant)
91,Hip Flexor Strain — Variant 66,Hip,Moderate,3-10,"Running, Sprint, Leg raise, Sit-up, Cycling (high resistance), Step-up, Deep lunge.","Standing hip flexor stretch (3×30s), Supine knee to chest, Heat after 48h, Gentle walking.","Bridge, Clamshell, Side-lying hip abduction, Dead bug (gentle), Stationary cycling (low resistance).","Lunge, Step-up, Squat, Running reintroduction at 4-6 weeks.","Protein 2g/kg, Omega-3 2g, Turmeric 500mg","Snapping hip, pain with all movements → MRI to rule out labral tear.",Physiopedia Hip Flexor Strain; ACSM Sports Injury Guidelines (variant)
92,Calf Strain (Gastrocnemius) — Variant 67,Calf,Severe,5-10,"Sprint, Running, Box jump, Skipping, Aggressive calf raise, Stair climbing (fast), HIIT.","RICE, Gentle calf stretch (wall), Towel stretch, Non-weight-bearing pool exercise, Ankle dorsiflexion.","Seated calf raise (bilateral), Standing calf raise (bilateral), Stationary cycling, Gentle jogging.","Single-leg calf raise, Running progression, Agility drills. Return at 4-8 weeks.","Magnesium 400mg, Vitamin D3 2000 IU, Collagen 10g, Protein 2g/kg","DVT symptoms (warmth, redness, swelling with calf pain) → urgent Doppler ultrasound.",Physiopedia Calf Strain; Sports Medicine Australia Protocol (variant)
93,Plantar Fasciitis — Variant 68,Foot / Heel,Moderate,Chronic — ongoing management,"Running (barefoot/minimalist), Box jumps, Skipping, Walking on hard surfaces (prolonged), Calf raise on incline.","Plantar fascia stretch (3×30s morning), Towel toe curls, Calf eccentric drops, Ice rolling (frozen water bottle).","Intrinsic foot strengthening (short foot exercise), Calf raise eccentric (3×15), Single-leg balance, Low-impact cardio.","Running with supportive footwear, Gradual mileage increase (10% rule), Soft surface running.","Vitamin D3 2000 IU, Magnesium 400mg, Collagen 10g","Sharp pain at night, sudden worsening → rule out stress fracture or nerve entrapment.",NICE Plantar Fasciitis Guidelines; Journal of Foot and Ankle Research 2022 (variant)
94,Meniscal Tear (Conservative Management) — Variant 69,Knee,Severe,7-14,"Deep knee flexion, Twisting on planted foot, Running, Jumping, Squatting beyond 90°, Leg curl.","Ice, compression, elevation. Quad sets, Straight leg raise, Stationary cycling (high seat), Pool walking.","Mini squat, Step-up, Leg press (limited range), Hip strengthening. Avoid pivoting.","Full squat (if pain-free), Jogging (week 8-12), Return to sport at 12-16 weeks.","Glucosamine sulfate 1500mg, Collagen 10g, Boswellia 300mg","Locking, inability to extend, persistent effusion → surgery consult.",Cochrane Review on Meniscal Tears 2020; Orthopedics Today (variant)
95,Achilles Tendinopathy (Mid-portion) — Variant 70,Achilles / Calf,Severe,Chronic — load management,"Running (initially), Plyometrics, Box jumps, Skipping rope, Sprint, Deep calf raise (early phase).","Isometric calf raise (5×45s, 2-3×/day), No passive stretching (acute phase), Ice after loading.","Alfredson eccentric heel drop protocol (3×15, twice daily on step), Concentric calf raise, Swimming.","Running (flat, slow pace), Plyometric introduction at 12 weeks, Full sport at 16-20 weeks.","Collagen 15g + Vitamin C 50mg (pre-exercise), Omega-3 3g, Magnesium 400mg","Palpable gap, sudden onset severe pain → Thompson test → rule out complete rupture.",Alfredson Protocol; NICE Achilles Tendinopathy Guidelines; BJSM 2021 (variant)
96,Meniscal Tear (Conservative Management) — Variant 71,Knee,Moderate,7-14,"Deep knee flexion, Twisting on planted foot, Running, Jumping, Squatting beyond 90°, Leg curl.","Ice, compression, elevation. Quad sets, Straight leg raise, Stationary cycling (high seat), Pool walking.","Mini squat, Step-up, Leg press (limited range), Hip strengthening. Avoid pivoting.","Full squat (if pain-free), Jogging (week 8-12), Return to sport at 12-16 weeks.","Glucosamine sulfate 1500mg, Collagen 10g, Boswellia 300mg","Locking, inability to extend, persistent effusion → surgery consult.",Cochrane Review on Meniscal Tears 2020; Orthopedics Today (variant)
97,Plantar Fasciitis — Variant 72,Foot / Heel,Severe,Chronic — ongoing management,"Running (barefoot/minimalist), Box jumps, Skipping, Walking on hard surfaces (prolonged), Calf raise on incline.","Plantar fascia stretch (3×30s morning), Towel toe curls, Calf eccentric drops, Ice rolling (frozen water bottle).","Intrinsic foot strengthening (short foot exercise), Calf raise eccentric (3×15), Single-leg balance, Low-impact cardio.","Running with supportive footwear, Gradual mileage increase (10% rule), Soft surface running.","Vitamin D3 2000 IU, Magnesium 400mg, Collagen 10g","Sharp pain at night, sudden worsening → rule out stress fracture or nerve entrapment.",NICE Plantar Fasciitis Guidelines; Journal of Foot and Ankle Research 2022 (variant)
98,Meniscal Tear (Conservative Management) — Variant 73,Knee,Severe,7-14,"Deep knee flexion, Twisting on planted foot, Running, Jumping, Squatting beyond 90°, Leg curl.","Ice, compression, elevation. Quad sets, Straight leg raise, Stationary cycling (high seat), Pool walking.","Mini squat, Step-up, Leg press (limited range), Hip strengthening. Avoid pivoting.","Full squat (if pain-free), Jogging (week 8-12), Return to sport at 12-16 weeks.","Glucosamine sulfate 1500mg, Collagen 10g, Boswellia 300mg","Locking, inability to extend, persistent effusion → surgery consult.",Cochrane Review on Meniscal Tears 2020; Orthopedics Today (variant)
99,Tibial Stress Fracture — Variant 74,Shin / Tibia,Moderate,21-42 (non-weight-bearing),"All running, Jumping, High-impact cardio, Leg press (loaded), Calf raise. Crutches if pain on walking.","Non-weight-bearing with crutches (4-6 weeks), Pool running, Seated upper body work, Bone loading protocol (gentle).","Progressive weight-bearing, Pool jogging, Stationary cycling, Elliptical (low impact).",Return-to-run programme at 8-12 weeks (subject to X-ray/MRI clearance). Calcium and Vitamin D optimisation.,"Calcium 1500mg, Vitamin D3 4000 IU, Vitamin K2 100mcg, Magnesium 400mg","Night pain, bilateral tibial pain → DEXA scan (bone density), RED-S assessment.",BJSM Stress Fracture Management 2019; Military Orthopaedic Guidelines (variant)
100,Rotator Cuff Strain (Grade I-II) — Variant 75,Shoulder,Severe,3-10,"Overhead press, Behind-the-neck press, Upright row, Military press, Kipping pull-up, Heavy bench press.","Pendulum exercises, Scapular retraction, Active-assisted ROM. RICE. Sling if needed (Grade II).","Band external rotation (3×15), Side-lying ER, Scaption, Wall push-up, Face pull (light band).","Dumbbell lateral raise, Cable fly, Landmine press, DB shoulder press (neutral grip), Gradual load increase.","Fish oil 3g, Collagen 10g + Vitamin C, Curcumin 1g","Inability to raise arm, complete tear on ultrasound → surgical evaluation.",AAOS Rotator Cuff Guidelines; JOSPT Shoulder Protocol 2021 (variant)
101,Cervical Spondylosis (Neck Stiffness) — Variant 76,Neck / Cervical Spine,Mild,Chronic — activity modification,"Behind-neck press, Behind-neck lat pull-down, Neck bridges, Headstand, Heavy shrugs, Overhead pressing with neck tension.","Cervical retraction (chin tucks, 10×10/day), Neck rotation (active), Scapular squeezes, Heat, Postural correction.","Band face pull, Prone cobra, Deep neck flexor strengthening, Chin tuck on incline, Gentle cardio.","Shoulder press (neutral, dumbbell), Pull-up, Deadlift with neutral neck, Gradual heavy loading.","Vitamin D3 3000 IU, Calcium 1000mg, Omega-3 2g, B12 1000mcg","Arm weakness, electric shock sensation on neck flexion (Lhermitte sign) → MRI immediately.",NICE Cervical Spondylosis Guidelines; Spine Journal 2022 (variant)
102,Hip Flexor Strain — Variant 77,Hip,Severe,3-10,"Running, Sprint, Leg raise, Sit-up, Cycling (high resistance), Step-up, Deep lunge.","Standing hip flexor stretch (3×30s), Supine knee to chest, Heat after 48h, Gentle walking.","Bridge, Clamshell, Side-lying hip abduction, Dead bug (gentle), Stationary cycling (low resistance).","Lunge, Step-up, Squat, Running reintroduction at 4-6 weeks.","Protein 2g/kg, Omega-3 2g, Turmeric 500mg","Snapping hip, pain with all movements → MRI to rule out labral tear.",Physiopedia Hip Flexor Strain; ACSM Sports Injury Guidelines (variant)
103,Overtraining Syndrome (OTS) — Variant 78,Systemic,Severe,Recovery: 2-6 weeks,"High-intensity training, Competition, Heavy lifting, All structured training initially.","Complete rest or active recovery only (leisurely walking, yoga). Sleep 9+ hours. Caloric surplus.","Light cardio (RPE 3-4), Mobility work, Meditation, Social activity, Gradual return to volume at 30% of baseline.","Progressive volume increase (10% weekly), Periodization with mandatory deload weeks, Heart rate variability (HRV) monitoring.","Ashwagandha 600mg (cortisol regulation), Zinc 25mg, Magnesium 400mg, Protein 2g/kg, Vitamin D3","Resting HR elevated >10 bpm above baseline for >2 weeks, mood disturbances → GP evaluation.",European College of Sport Science OTS Consensus 2012; BJSM 2020 Update (variant)
104,Plantar Fasciitis — Variant 79,Foot / Heel,Severe,Chronic — ongoing management,"Running (barefoot/minimalist), Box jumps, Skipping, Walking on hard surfaces (prolonged), Calf raise on incline.","Plantar fascia stretch (3×30s morning), Towel toe curls, Calf eccentric drops, Ice rolling (frozen water bottle).","Intrinsic foot strengthening (short foot exercise), Calf raise eccentric (3×15), Single-leg balance, Low-impact cardio.","Running with supportive footwear, Gradual mileage increase (10% rule), Soft surface running.","Vitamin D3 2000 IU, Magnesium 400mg, Collagen 10g","Sharp pain at night, sudden worsening → rule out stress fracture or nerve entrapment.",NICE Plantar Fasciitis Guidelines; Journal of Foot and Ankle Research 2022 (variant)
105,Patellofemoral Pain Syndrome (Runner's Knee) — Variant 80,Knee,Mild,3-7,"Deep squats (beyond 90°), Leg extension machine, Running downhill, Lunges, Stair climbing, Plyometrics.","RICE protocol, VMO activation (quad sets), Straight leg raise, Short-arc quad, Non-weight-bearing cycling.","Mini squat (0-45°), Step-up (low), Hip strengthening (abductors/external rotators), Terminal knee extension.","Wall squat, Bulgarian split squat, Running at flat surface (progressive mileage), Box squat.","Glucosamine 1500mg + Chondroitin 1200mg, Collagen 10g + Vitamin C, Omega-3 2g","Locking, giving way, significant swelling → MRI to rule out meniscal tear.",British Journal of Sports Medicine PFPS Guidelines 2022 (variant)
106,Achilles Tendinopathy (Mid-portion) — Variant 81,Achilles / Calf,Moderate,Chronic — load management,"Running (initially), Plyometrics, Box jumps, Skipping rope, Sprint, Deep calf raise (early phase).","Isometric calf raise (5×45s, 2-3×/day), No passive stretching (acute phase), Ice after loading.","Alfredson eccentric heel drop protocol (3×15, twice daily on step), Concentric calf raise, Swimming.","Running (flat, slow pace), Plyometric introduction at 12 weeks, Full sport at 16-20 weeks.","Collagen 15g + Vitamin C 50mg (pre-exercise), Omega-3 3g, Magnesium 400mg","Palpable gap, sudden onset severe pain → Thompson test → rule out complete rupture.",Alfredson Protocol; NICE Achilles Tendinopathy Guidelines; BJSM 2021 (variant)
107,Scoliosis (Mild — Exercise Modification) — Variant 82,Spine,Moderate,Ongoing management,"Heavy asymmetric loading (e.g., single arm cable row without balance), Contact sports, High-impact activities.","Schroth method exercises (personalized breathing + positioning), Core stabilization, Swimming.","Bilateral symmetrical loading preferred, Lat pull-down (double grip), Leg press, Plank, Glute bridge.","Deadlift with monitoring, Squat, Pull-up (avoid over-rotation). Regular physio check-ins.","Calcium 1200mg, Vitamin D3 3000 IU, Magnesium 400mg","Cobb angle >25° → orthopaedic review, bracing consideration.",SOSORT Scoliosis Exercise Guidelines 2022 (variant)
108,Meniscal Tear (Conservative Management) — Variant 83,Knee,Moderate,7-14,"Deep knee flexion, Twisting on planted foot, Running, Jumping, Squatting beyond 90°, Leg curl.","Ice, compression, elevation. Quad sets, Straight leg raise, Stationary cycling (high seat), Pool walking.","Mini squat, Step-up, Leg press (limited range), Hip strengthening. Avoid pivoting.","Full squat (if pain-free), Jogging (week 8-12), Return to sport at 12-16 weeks.","Glucosamine sulfate 1500mg, Collagen 10g, Boswellia 300mg","Locking, inability to extend, persistent effusion → surgery consult.",Cochrane Review on Meniscal Tears 2020; Orthopedics Today (variant)
109,Carpal Tunnel Syndrome — Variant 84,Wrist,Mild,Chronic — ergonomic management,"Barbell wrist curl, Heavy grip work, Push-ups on extended wrist, Dips, Plank (standard), Heavy deadlift (hook grip).","Nerve gliding exercises, Wrist tendon gliding, Fist → full extension sequence. Neutral wrist splinting at night.","Wrist flexor stretch (3×30s), Scapular stability, Ergonomic modification, Low-impact cardio.","Fist push-ups, TRX rows, Trap bar deadlift (neutral grip), Gradual barbell introduction.","Vitamin B6 100mg, Alpha-lipoic acid 600mg, Fish oil 2g","Thenar wasting, severe constant numbness → surgical decompression consult.",NICE CTS Guidelines 2023; American Academy of Orthopaedic Surgeons (variant)
110,Patellar Tendinopathy (Jumper's Knee) — Variant 85,Knee,Severe,Chronic — load management,"Plyometrics, Heavy loaded squats, Leg extension machine, Running, Jumping rope, Hill sprints.","Isometric leg press or wall squat (70% MVC, 5×45s, 5×/week). Ice after activity. Load reduction 50%.","Isotonic loading: Slow squats (3s concentric/3s eccentric), Spanish squat, Leg press. Gradual loading.","Reactive loading: Box jump (low), Running reintroduction, Sport-specific drills at 12-16 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g, Protein >1.8g/kg","Central tendon thickening, partial rupture on ultrasound → physio-guided management.",Cook & Purdam Tendinopathy Model; BJSM Patellar Tendinopathy Review 2022 (variant)
