exercise_id,exercise_name,primary_muscle,secondary_muscles,equipment,category,difficulty,met_value,sets_beginner,reps_beginner,sets_intermediate,reps_intermediate,sets_advanced,reps_advanced,rest_seconds,contraindications,is_compound,is_bodyweight,calorie_burn_30min,video_cue
239,Standing Calf Raise (None variation),Gastrocnemius,Soleus,None,Strength,Beginner,3.8,3,8-12,4,6-10,5,4-8,90,"Achilles tendinopathy (early), Calf strain",0,1,140,Search: 'Standing Calf Raise None form' for technique guidance
240,Barbell Hip Thrust (None variation),Glutes,"Hamstrings, Core",None,Strength,Beginner,6.6,3,8-12,4,6-10,5,4-8,90,"Neck injury, Severe lower back pain",0,1,245,Search: 'Barbell Hip Thrust None form' for technique guidance
241,Barbell Back Squat (Resistance Band variation),Quadriceps,"Glutes, Hamstrings, Core",Resistance Band,Strength,Advanced,8.3,3,8-12,4,6-10,5,4-8,180,"Knee pain, Lower back injury, Hip impingement",0,0,280,Search: 'Barbell Back Squat Resistance Band form' for technique guidance
242,V-Up (Barbell variation),Core,Hip Flexors,Barbell,Core,Beginner,4.8,3,8-12,4,6-10,5,4-8,90,"Lower back disc injury, Hip flexor strain",0,0,158,Search: 'V-Up Barbell form' for technique guidance
243,Elliptical Trainer (Cable Machine variation),Full Body,Cardiovascular,Cable Machine,Cardio,Intermediate,5.9,3,8-12,4,6-10,5,4-8,120,None (low impact),1,0,228,Search: 'Elliptical Trainer Cable Machine form' for technique guidance
244,Face Pull (Machine variation),Rear Delt,"External Rotators, Traps",Machine,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,Shoulder impingement (use light weight),0,0,122,Search: 'Face Pull Machine form' for technique guidance
245,Barbell Shrug (None variation),Traps,Neck,None,Strength,Beginner,4.7,3,8-12,4,6-10,5,4-8,90,"Neck injury, Cervical spondylosis",0,1,158,Search: 'Barbell Shrug None form' for technique guidance
246,Dumbbell Shoulder Press (Resistance Band variation),Shoulders,"Triceps, Traps",Resistance Band,Strength,Advanced,6.0,3,8-12,4,6-10,5,4-8,180,"Shoulder impingement, Rotator cuff",0,0,228,Search: 'Dumbbell Shoulder Press Resistance Band form' for technique guidance
247,Overhead Tricep Extension (None variation),Triceps,None,None,Strength,Advanced,3.3,3,8-12,4,6-10,5,4-8,180,"Elbow pain, Shoulder injury",0,1,122,Search: 'Overhead Tricep Extension None form' for technique guidance
248,Burpee (Kettlebell variation),Full Body,Cardiovascular,Kettlebell,HIIT,Advanced,9.7,3,8-12,4,6-10,5,4-8,180,"Shoulder injury, Lower back disc, Knee pain",1,0,350,Search: 'Burpee Kettlebell form' for technique guidance
249,Close-Grip Bench Press (Resistance Band variation),Triceps,"Chest, Front Delt",Resistance Band,Strength,Beginner,6.1,3,8-12,4,6-10,5,4-8,90,"Wrist injury, Elbow pain",0,0,228,Search: 'Close-Grip Bench Press Resistance Band form' for technique guidance
250,Dumbbell Curl (None variation),Biceps,Brachialis,None,Strength,Intermediate,3.7,3,8-12,4,6-10,5,4-8,120,"Elbow pain, Biceps tendinopathy",0,1,122,Search: 'Dumbbell Curl None form' for technique guidance
251,Cable Fly (Resistance Band variation),Chest,Front Delt,Resistance Band,Strength,Beginner,4.6,3,8-12,4,6-10,5,4-8,90,Shoulder impingement,0,0,158,Search: 'Cable Fly Resistance Band form' for technique guidance
252,Barbell Front Squat (Dumbbells variation),Quadriceps,"Glutes, Upper Back, Core",Dumbbells,Strength,Advanced,7.7,3,8-12,4,6-10,5,4-8,180,"Wrist injury, Shoulder pain, Lower back injury",0,0,298,Search: 'Barbell Front Squat Dumbbells form' for technique guidance
253,Rear Delt Fly (Kettlebell variation),Rear Delt,Rhomboids,Kettlebell,Strength,Intermediate,3.8,3,8-12,4,6-10,5,4-8,120,None,0,0,122,Search: 'Rear Delt Fly Kettlebell form' for technique guidance
254,Incline DB Curl (None variation),Biceps,Brachialis,None,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,Shoulder injury,0,1,122,Search: 'Incline DB Curl None form' for technique guidance
255,Hip Abduction Machine (None variation),Abductors,Glutes,None,Strength,Beginner,3.3,3,8-12,4,6-10,5,4-8,90,Hip injury,0,1,122,Search: 'Hip Abduction Machine None form' for technique guidance
256,Incline DB Curl (None variation),Biceps,Brachialis,None,Strength,Beginner,3.7,3,8-12,4,6-10,5,4-8,90,Shoulder injury,0,1,122,Search: 'Incline DB Curl None form' for technique guidance
257,Dumbbell Fly (Kettlebell variation),Chest,Front Delt,Kettlebell,Strength,Intermediate,4.4,3,8-12,4,6-10,5,4-8,120,"Shoulder impingement, Rotator cuff",0,0,158,Search: 'Dumbbell Fly Kettlebell form' for technique guidance
258,Push-Up (None variation),Chest,"Triceps, Front Delt, Core",None,Strength,Beginner,5.1,3,8-12,4,6-10,5,4-8,90,"Wrist pain, Shoulder injury",0,1,175,Search: 'Push-Up None form' for technique guidance
259,Landmine Rotation (Dumbbells variation),Obliques,"Core, Shoulders",Dumbbells,Core,Advanced,5.1,3,8-12,4,6-10,5,4-8,180,"Shoulder injury, Lower back disc",0,0,175,Search: 'Landmine Rotation Dumbbells form' for technique guidance
260,Seated Calf Raise (Machine variation),Soleus,Gastrocnemius,Machine,Strength,Intermediate,3.5,3,8-12,4,6-10,5,4-8,120,"Achilles tendinopathy (early), Plantar fasciitis (acute)",0,0,122,Search: 'Seated Calf Raise Machine form' for technique guidance
261,Stationary Cycling (Kettlebell variation),Quadriceps,"Glutes, Cardiovascular",Kettlebell,Cardio,Intermediate,6.0,3,8-12,4,6-10,5,4-8,120,Knee pain (adjust seat height),0,0,210,Search: 'Stationary Cycling Kettlebell form' for technique guidance
262,Upright Row (Barbell variation),Traps,Lateral Delt,Barbell,Strength,Intermediate,5.1,3,8-12,4,6-10,5,4-8,120,"Shoulder impingement, Rotator cuff",0,0,175,Search: 'Upright Row Barbell form' for technique guidance
263,Jumping Jack (Machine variation),Full Body,Cardiovascular,Machine,Cardio,Advanced,8.1,3,8-12,4,6-10,5,4-8,180,"Knee pain, Ankle injury",1,0,280,Search: 'Jumping Jack Machine form' for technique guidance
264,Arnold Press (Machine variation),Shoulders,"Triceps, Chest",Machine,Strength,Advanced,6.3,3,8-12,4,6-10,5,4-8,180,Shoulder impingement,0,0,228,Search: 'Arnold Press Machine form' for technique guidance
265,T-Bar Row (Resistance Band variation),Lats,"Rhomboids, Biceps",Resistance Band,Strength,Advanced,6.9,3,8-12,4,6-10,5,4-8,180,Lower back pain,0,0,262,Search: 'T-Bar Row Resistance Band form' for technique guidance
266,Standing Calf Raise (Barbell variation),Gastrocnemius,Soleus,Barbell,Strength,Beginner,4.3,3,8-12,4,6-10,5,4-8,90,"Achilles tendinopathy (early), Calf strain",0,0,140,Search: 'Standing Calf Raise Barbell form' for technique guidance
267,Box Jump (Barbell variation),Quadriceps,"Glutes, Calves, Cardiovascular",Barbell,Power,Intermediate,7.6,3,8-12,4,6-10,5,4-8,120,"Knee pain, Ankle injury, Achilles tendinopathy",0,0,280,Search: 'Box Jump Barbell form' for technique guidance
268,Crunch (Machine variation),Upper Abs,Core,Machine,Core,Beginner,3.2,3,8-12,4,6-10,5,4-8,90,"Lower back disc injury, Neck injury",0,0,122,Search: 'Crunch Machine form' for technique guidance
269,Landmine Press (None variation),Shoulders,"Chest, Triceps, Core",None,Strength,Beginner,6.5,3,8-12,4,6-10,5,4-8,90,None,0,1,210,Search: 'Landmine Press None form' for technique guidance
270,V-Up (Resistance Band variation),Core,Hip Flexors,Resistance Band,Core,Advanced,4.1,3,8-12,4,6-10,5,4-8,180,"Lower back disc injury, Hip flexor strain",0,0,158,Search: 'V-Up Resistance Band form' for technique guidance
271,Hanging Leg Raise (Resistance Band variation),Lower Abs,"Hip Flexors, Core",Resistance Band,Core,Intermediate,4.9,3,8-12,4,6-10,5,4-8,120,"Shoulder injury, Lower back disc",0,0,175,Search: 'Hanging Leg Raise Resistance Band form' for technique guidance
272,Rowing Machine (Cable Machine variation),Back,"Full Body, Cardiovascular",Cable Machine,Cardio,Intermediate,7.8,3,8-12,4,6-10,5,4-8,120,"Lower back disc, Knee injury",0,0,298,Search: 'Rowing Machine Cable Machine form' for technique guidance
273,Glute Bridge (Cable Machine variation),Glutes,"Hamstrings, Core",Cable Machine,Core,Beginner,3.9,3,8-12,4,6-10,5,4-8,90,None (excellent for lower back rehab),0,0,140,Search: 'Glute Bridge Cable Machine form' for technique guidance
274,Seated Cable Row (Barbell variation),Lats,"Rhomboids, Biceps, Rear Delt",Barbell,Strength,Advanced,6.4,3,8-12,4,6-10,5,4-8,180,Lower back injury (minimal risk),0,0,210,Search: 'Seated Cable Row Barbell form' for technique guidance
275,Pallof Press (Resistance Band variation),Core,Obliques,Resistance Band,Core,Intermediate,3.2,3,8-12,4,6-10,5,4-8,120,None,0,0,122,Search: 'Pallof Press Resistance Band form' for technique guidance
276,Barbell Overhead Press (Cable Machine variation),Shoulders,"Triceps, Upper Chest, Traps",Cable Machine,Strength,Beginner,7.4,3,8-12,4,6-10,5,4-8,90,"Shoulder impingement, Rotator cuff, Neck injury",0,0,245,Search: 'Barbell Overhead Press Cable Machine form' for technique guidance
277,Barbell Row (Resistance Band variation),Lats,"Rhomboids, Biceps, Rear Delt",Resistance Band,Strength,Intermediate,8.0,3,8-12,4,6-10,5,4-8,120,Lower back disc injury,0,0,262,Search: 'Barbell Row Resistance Band form' for technique guidance
278,Barbell Bench Press (Kettlebell variation),Chest,"Triceps, Front Deltoid",Kettlebell,Strength,Beginner,7.7,3,8-12,4,6-10,5,4-8,90,"Shoulder impingement, Rotator cuff, Pectoral strain",0,0,280,Search: 'Barbell Bench Press Kettlebell form' for technique guidance
279,Face Pull (Dumbbells variation),Rear Delt,"External Rotators, Traps",Dumbbells,Strength,Intermediate,3.6,3,8-12,4,6-10,5,4-8,120,Shoulder impingement (use light weight),0,0,122,Search: 'Face Pull Dumbbells form' for technique guidance
280,Preacher Curl (Barbell variation),Biceps,Brachialis,Barbell,Strength,Intermediate,3.6,3,8-12,4,6-10,5,4-8,120,"Elbow injury, Biceps tendinopathy",0,0,122,Search: 'Preacher Curl Barbell form' for technique guidance
281,Jumping Jack (Machine variation),Full Body,Cardiovascular,Machine,Cardio,Beginner,7.7,3,8-12,4,6-10,5,4-8,90,"Knee pain, Ankle injury",1,0,280,Search: 'Jumping Jack Machine form' for technique guidance
282,Swimming (Barbell variation),Full Body,Cardiovascular,Barbell,Cardio,Intermediate,6.6,3,8-12,4,6-10,5,4-8,120,Shoulder injury (use kickboard only),1,0,245,Search: 'Swimming Barbell form' for technique guidance
283,DB Shrug (Dumbbells variation),Traps,Neck,Dumbbells,Strength,Beginner,4.3,3,8-12,4,6-10,5,4-8,90,Neck injury,0,0,140,Search: 'DB Shrug Dumbbells form' for technique guidance
284,Box Jump (Cable Machine variation),Quadriceps,"Glutes, Calves, Cardiovascular",Cable Machine,Power,Beginner,7.3,3,8-12,4,6-10,5,4-8,90,"Knee pain, Ankle injury, Achilles tendinopathy",0,0,280,Search: 'Box Jump Cable Machine form' for technique guidance
285,Russian Twist (Machine variation),Obliques,Core,Machine,Core,Beginner,4.9,3,8-12,4,6-10,5,4-8,90,Lower back disc injury (rotation stress),0,0,158,Search: 'Russian Twist Machine form' for technique guidance
286,Decline Bench Press (None variation),Lower Chest,"Triceps, Front Deltoid",None,Strength,Intermediate,8.2,3,8-12,4,6-10,5,4-8,120,"Lower back lordosis, Neck injury",0,1,262,Search: 'Decline Bench Press None form' for technique guidance
287,Leg Curl (lying) (Barbell variation),Hamstrings,Glutes,Barbell,Strength,Advanced,4.4,3,8-12,4,6-10,5,4-8,180,Hamstring Grade II+ strain,0,0,158,Search: 'Leg Curl (lying) Barbell form' for technique guidance
288,Jumping Jack (Resistance Band variation),Full Body,Cardiovascular,Resistance Band,Cardio,Beginner,7.5,3,8-12,4,6-10,5,4-8,90,"Knee pain, Ankle injury",1,0,280,Search: 'Jumping Jack Resistance Band form' for technique guidance
289,Wrist Extension (Resistance Band variation),Forearm Ext,None,Resistance Band,Strength,Advanced,2.3,3,8-12,4,6-10,5,4-8,180,Tennis elbow (load carefully),0,0,88,Search: 'Wrist Extension Resistance Band form' for technique guidance
290,Preacher Curl (None variation),Biceps,Brachialis,None,Strength,Advanced,3.5,3,8-12,4,6-10,5,4-8,180,"Elbow injury, Biceps tendinopathy",0,1,122,Search: 'Preacher Curl None form' for technique guidance
291,Dumbbell Curl (Dumbbells variation),Biceps,Brachialis,Dumbbells,Strength,Advanced,3.7,3,8-12,4,6-10,5,4-8,180,"Elbow pain, Biceps tendinopathy",0,0,122,Search: 'Dumbbell Curl Dumbbells form' for technique guidance
292,Rear Delt Fly (None variation),Rear Delt,Rhomboids,None,Strength,Advanced,3.5,3,8-12,4,6-10,5,4-8,180,None,0,1,122,Search: 'Rear Delt Fly None form' for technique guidance
293,Glute Bridge (Dumbbells variation),Glutes,"Hamstrings, Core",Dumbbells,Core,Advanced,4.0,3,8-12,4,6-10,5,4-8,180,None (excellent for lower back rehab),0,0,140,Search: 'Glute Bridge Dumbbells form' for technique guidance
294,Barbell Overhead Press (Cable Machine variation),Shoulders,"Triceps, Upper Chest, Traps",Cable Machine,Strength,Beginner,7.3,3,8-12,4,6-10,5,4-8,90,"Shoulder impingement, Rotator cuff, Neck injury",0,0,245,Search: 'Barbell Overhead Press Cable Machine form' for technique guidance
295,T-Bar Row (Machine variation),Lats,"Rhomboids, Biceps",Machine,Strength,Intermediate,8.0,3,8-12,4,6-10,5,4-8,120,Lower back pain,0,0,262,Search: 'T-Bar Row Machine form' for technique guidance
296,Landmine Press (Cable Machine variation),Shoulders,"Chest, Triceps, Core",Cable Machine,Strength,Advanced,5.6,3,8-12,4,6-10,5,4-8,180,None,0,0,210,Search: 'Landmine Press Cable Machine form' for technique guidance
297,Hanging Leg Raise (Barbell variation),Lower Abs,"Hip Flexors, Core",Barbell,Core,Beginner,5.0,3,8-12,4,6-10,5,4-8,90,"Shoulder injury, Lower back disc",0,0,175,Search: 'Hanging Leg Raise Barbell form' for technique guidance
298,Glute Bridge (Resistance Band variation),Glutes,"Hamstrings, Core",Resistance Band,Core,Advanced,3.9,3,8-12,4,6-10,5,4-8,180,None (excellent for lower back rehab),0,0,140,Search: 'Glute Bridge Resistance Band form' for technique guidance
299,Russian Twist (Resistance Band variation),Obliques,Core,Resistance Band,Core,Beginner,4.6,3,8-12,4,6-10,5,4-8,90,Lower back disc injury (rotation stress),0,0,158,Search: 'Russian Twist Resistance Band form' for technique guidance
300,Bird Dog (None variation),Core,"Glutes, Lower Back",None,Core,Intermediate,3.8,3,8-12,4,6-10,5,4-8,120,None (excellent for lower back rehab),0,1,122,Search: 'Bird Dog None form' for technique guidance
301,Barbell Shrug (Cable Machine variation),Traps,Neck,Cable Machine,Strength,Advanced,4.5,3,8-12,4,6-10,5,4-8,180,"Neck injury, Cervical spondylosis",0,0,158,Search: 'Barbell Shrug Cable Machine form' for technique guidance
302,Upright Row (Machine variation),Traps,Lateral Delt,Machine,Strength,Intermediate,5.5,3,8-12,4,6-10,5,4-8,120,"Shoulder impingement, Rotator cuff",0,0,175,Search: 'Upright Row Machine form' for technique guidance
303,T-Bar Row (Machine variation),Lats,"Rhomboids, Biceps",Machine,Strength,Advanced,8.2,3,8-12,4,6-10,5,4-8,180,Lower back pain,0,0,262,Search: 'T-Bar Row Machine form' for technique guidance
304,Tricep Pushdown (cable) (Resistance Band variation),Triceps,None,Resistance Band,Strength,Beginner,3.2,3,8-12,4,6-10,5,4-8,90,Elbow pain,0,0,122,Search: 'Tricep Pushdown (cable) Resistance Band form' for technique guidance
305,Barbell Deadlift (Machine variation),Hamstrings,"Glutes, Lower Back, Traps, Core",Machine,Strength,Intermediate,8.2,3,8-12,4,6-10,5,4-8,120,"Lower back disc injury, Sciatica",0,0,315,Search: 'Barbell Deadlift Machine form' for technique guidance
306,Hip Adduction Machine (Barbell variation),Adductors,None,Barbell,Strength,Beginner,3.8,3,8-12,4,6-10,5,4-8,90,"Groin strain, Hip injury",0,0,122,Search: 'Hip Adduction Machine Barbell form' for technique guidance
307,Lateral Raise (Machine variation),Lateral Delt,Traps,Machine,Strength,Advanced,3.5,3,8-12,4,6-10,5,4-8,180,Shoulder impingement (keep below 90°),0,0,122,Search: 'Lateral Raise Machine form' for technique guidance
308,Barbell Shrug (None variation),Traps,Neck,None,Strength,Beginner,4.5,3,8-12,4,6-10,5,4-8,90,"Neck injury, Cervical spondylosis",0,1,158,Search: 'Barbell Shrug None form' for technique guidance
309,Sit-Up (None variation),Abs,Hip Flexors,None,Core,Beginner,4.1,3,8-12,4,6-10,5,4-8,90,"Lower back disc, Sciatica, Hip flexor strain",0,1,140,Search: 'Sit-Up None form' for technique guidance
310,Dumbbell Shoulder Press (Barbell variation),Shoulders,"Triceps, Traps",Barbell,Strength,Advanced,7.1,3,8-12,4,6-10,5,4-8,180,"Shoulder impingement, Rotator cuff",0,0,228,Search: 'Dumbbell Shoulder Press Barbell form' for technique guidance
311,Jumping Rope (Kettlebell variation),Calves,"Full Body, Cardiovascular",Kettlebell,Cardio,Intermediate,10.9,3,8-12,4,6-10,5,4-8,120,"Knee pain, Plantar fasciitis, Ankle injury",0,0,420,Search: 'Jumping Rope Kettlebell form' for technique guidance
312,Leg Extension (None variation),Quadriceps,None,None,Strength,Intermediate,4.8,3,8-12,4,6-10,5,4-8,120,"Patellofemoral pain, ACL injury, Knee impingement",0,1,158,Search: 'Leg Extension None form' for technique guidance
313,Upright Row (Kettlebell variation),Traps,Lateral Delt,Kettlebell,Strength,Beginner,5.2,3,8-12,4,6-10,5,4-8,90,"Shoulder impingement, Rotator cuff",0,0,175,Search: 'Upright Row Kettlebell form' for technique guidance
314,Crunch (Kettlebell variation),Upper Abs,Core,Kettlebell,Core,Intermediate,3.2,3,8-12,4,6-10,5,4-8,120,"Lower back disc injury, Neck injury",0,0,122,Search: 'Crunch Kettlebell form' for technique guidance
315,Cable Fly (Barbell variation),Chest,Front Delt,Barbell,Strength,Beginner,4.2,3,8-12,4,6-10,5,4-8,90,Shoulder impingement,0,0,158,Search: 'Cable Fly Barbell form' for technique guidance
316,Dumbbell Curl (None variation),Biceps,Brachialis,None,Strength,Beginner,3.2,3,8-12,4,6-10,5,4-8,90,"Elbow pain, Biceps tendinopathy",0,1,122,Search: 'Dumbbell Curl None form' for technique guidance
317,Face Pull (Dumbbells variation),Rear Delt,"External Rotators, Traps",Dumbbells,Strength,Beginner,3.2,3,8-12,4,6-10,5,4-8,90,Shoulder impingement (use light weight),0,0,122,Search: 'Face Pull Dumbbells form' for technique guidance
318,Crunch (Machine variation),Upper Abs,Core,Machine,Core,Advanced,3.7,3,8-12,4,6-10,5,4-8,180,"Lower back disc injury, Neck injury",0,0,122,Search: 'Crunch Machine form' for technique guidance
319,Barbell Deadlift (Machine variation),Hamstrings,"Glutes, Lower Back, Traps, Core",Machine,Strength,Intermediate,9.8,3,8-12,4,6-10,5,4-8,120,"Lower back disc injury, Sciatica",0,0,315,Search: 'Barbell Deadlift Machine form' for technique guidance
320,Bulgarian Split Squat (Resistance Band variation),Quadriceps,"Glutes, Hamstrings, Core",Resistance Band,Strength,Intermediate,7.6,3,8-12,4,6-10,5,4-8,120,"Knee pain, Ankle instability, Hip flexor strain",0,0,262,Search: 'Bulgarian Split Squat Resistance Band form' for technique guidance
321,Landmine Rotation (Cable Machine variation),Obliques,"Core, Shoulders",Cable Machine,Core,Intermediate,4.7,3,8-12,4,6-10,5,4-8,120,"Shoulder injury, Lower back disc",0,0,175,Search: 'Landmine Rotation Cable Machine form' for technique guidance
322,Bulgarian Split Squat (Barbell variation),Quadriceps,"Glutes, Hamstrings, Core",Barbell,Strength,Beginner,7.2,3,8-12,4,6-10,5,4-8,90,"Knee pain, Ankle instability, Hip flexor strain",0,0,262,Search: 'Bulgarian Split Squat Barbell form' for technique guidance
323,Smith Machine Squat (Machine variation),Quadriceps,"Glutes, Hamstrings",Machine,Strength,Intermediate,6.6,3,8-12,4,6-10,5,4-8,120,"Knee pain, Lower back injury",0,0,245,Search: 'Smith Machine Squat Machine form' for technique guidance
324,Barbell Shrug (Cable Machine variation),Traps,Neck,Cable Machine,Strength,Beginner,4.8,3,8-12,4,6-10,5,4-8,90,"Neck injury, Cervical spondylosis",0,0,158,Search: 'Barbell Shrug Cable Machine form' for technique guidance
325,Cable Crunch (None variation),Abs,Core,None,Core,Beginner,3.9,3,8-12,4,6-10,5,4-8,90,Lower back disc injury (avoid spinal flexion),0,1,140,Search: 'Cable Crunch None form' for technique guidance
326,Barbell Row (None variation),Lats,"Rhomboids, Biceps, Rear Delt",None,Strength,Intermediate,6.8,3,8-12,4,6-10,5,4-8,120,Lower back disc injury,0,1,262,Search: 'Barbell Row None form' for technique guidance
327,Dumbbell Shoulder Press (Cable Machine variation),Shoulders,"Triceps, Traps",Cable Machine,Strength,Beginner,6.2,3,8-12,4,6-10,5,4-8,90,"Shoulder impingement, Rotator cuff",0,0,228,Search: 'Dumbbell Shoulder Press Cable Machine form' for technique guidance
328,Rowing Machine (None variation),Back,"Full Body, Cardiovascular",None,Cardio,Beginner,8.4,3,8-12,4,6-10,5,4-8,90,"Lower back disc, Knee injury",0,1,298,Search: 'Rowing Machine None form' for technique guidance
329,Glute Bridge (None variation),Glutes,"Hamstrings, Core",None,Core,Advanced,3.8,3,8-12,4,6-10,5,4-8,180,None (excellent for lower back rehab),0,1,140,Search: 'Glute Bridge None form' for technique guidance
330,Dips (Kettlebell variation),Triceps,"Chest, Front Delt",Kettlebell,Strength,Beginner,5.9,3,8-12,4,6-10,5,4-8,90,"Shoulder impingement, Rotator cuff, Elbow injury",0,0,210,Search: 'Dips Kettlebell form' for technique guidance
331,DB Shrug (Barbell variation),Traps,Neck,Barbell,Strength,Intermediate,3.7,3,8-12,4,6-10,5,4-8,120,Neck injury,0,0,140,Search: 'DB Shrug Barbell form' for technique guidance
332,Dips (None variation),Triceps,"Chest, Front Delt",None,Strength,Intermediate,6.2,3,8-12,4,6-10,5,4-8,120,"Shoulder impingement, Rotator cuff, Elbow injury",0,1,210,Search: 'Dips None form' for technique guidance
333,Bulgarian Split Squat (None variation),Quadriceps,"Glutes, Hamstrings, Core",None,Strength,Advanced,7.5,3,8-12,4,6-10,5,4-8,180,"Knee pain, Ankle instability, Hip flexor strain",0,1,262,Search: 'Bulgarian Split Squat None form' for technique guidance
334,Crunch (Dumbbells variation),Upper Abs,Core,Dumbbells,Core,Intermediate,3.5,3,8-12,4,6-10,5,4-8,120,"Lower back disc injury, Neck injury",0,0,122,Search: 'Crunch Dumbbells form' for technique guidance
335,Pallof Press (Resistance Band variation),Core,Obliques,Resistance Band,Core,Intermediate,3.4,3,8-12,4,6-10,5,4-8,120,None,0,0,122,Search: 'Pallof Press Resistance Band form' for technique guidance
336,Dead Bug (Kettlebell variation),Core,Hip Flexors,Kettlebell,Core,Intermediate,3.3,3,8-12,4,6-10,5,4-8,120,None (excellent for lower back rehab),0,0,122,Search: 'Dead Bug Kettlebell form' for technique guidance
337,Push-Up (Dumbbells variation),Chest,"Triceps, Front Delt, Core",Dumbbells,Strength,Beginner,4.8,3,8-12,4,6-10,5,4-8,90,"Wrist pain, Shoulder injury",0,0,175,Search: 'Push-Up Dumbbells form' for technique guidance
338,Stationary Cycling (Barbell variation),Quadriceps,"Glutes, Cardiovascular",Barbell,Cardio,Beginner,5.6,3,8-12,4,6-10,5,4-8,90,Knee pain (adjust seat height),0,0,210,Search: 'Stationary Cycling Barbell form' for technique guidance
339,Barbell Front Squat (Kettlebell variation),Quadriceps,"Glutes, Upper Back, Core",Kettlebell,Strength,Intermediate,8.0,3,8-12,4,6-10,5,4-8,120,"Wrist injury, Shoulder pain, Lower back injury",0,0,298,Search: 'Barbell Front Squat Kettlebell form' for technique guidance
340,Glute Bridge (Dumbbells variation),Glutes,"Hamstrings, Core",Dumbbells,Core,Beginner,4.2,3,8-12,4,6-10,5,4-8,90,None (excellent for lower back rehab),0,0,140,Search: 'Glute Bridge Dumbbells form' for technique guidance
341,Treadmill Running (Kettlebell variation),Full Body,Cardiovascular,Kettlebell,Cardio,Advanced,10.0,3,8-12,4,6-10,5,4-8,180,"Knee pain, Plantar fasciitis, Stress fracture, Achilles tendinopathy",1,0,343,Search: 'Treadmill Running Kettlebell form' for technique guidance
342,Smith Machine Squat (Resistance Band variation),Quadriceps,"Glutes, Hamstrings",Resistance Band,Strength,Intermediate,7.5,3,8-12,4,6-10,5,4-8,120,"Knee pain, Lower back injury",0,0,245,Search: 'Smith Machine Squat Resistance Band form' for technique guidance
343,Swimming (Cable Machine variation),Full Body,Cardiovascular,Cable Machine,Cardio,Beginner,6.5,3,8-12,4,6-10,5,4-8,90,Shoulder injury (use kickboard only),1,0,245,Search: 'Swimming Cable Machine form' for technique guidance
344,Box Jump (Barbell variation),Quadriceps,"Glutes, Calves, Cardiovascular",Barbell,Power,Intermediate,7.9,3,8-12,4,6-10,5,4-8,120,"Knee pain, Ankle injury, Achilles tendinopathy",0,0,280,Search: 'Box Jump Barbell form' for technique guidance
345,Decline Bench Press (Dumbbells variation),Lower Chest,"Triceps, Front Deltoid",Dumbbells,Strength,Intermediate,7.9,3,8-12,4,6-10,5,4-8,120,"Lower back lordosis, Neck injury",0,0,262,Search: 'Decline Bench Press Dumbbells form' for technique guidance
346,Chin-Up (Cable Machine variation),Biceps,"Lats, Core",Cable Machine,Strength,Intermediate,7.1,3,8-12,4,6-10,5,4-8,120,"Shoulder injury, Biceps tendinopathy",0,0,245,Search: 'Chin-Up Cable Machine form' for technique guidance
347,Decline Bench Press (Kettlebell variation),Lower Chest,"Triceps, Front Deltoid",Kettlebell,Strength,Advanced,7.1,3,8-12,4,6-10,5,4-8,180,"Lower back lordosis, Neck injury",0,0,262,Search: 'Decline Bench Press Kettlebell form' for technique guidance
348,Smith Machine Squat (Machine variation),Quadriceps,"Glutes, Hamstrings",Machine,Strength,Beginner,6.4,3,8-12,4,6-10,5,4-8,90,"Knee pain, Lower back injury",0,0,245,Search: 'Smith Machine Squat Machine form' for technique guidance
349,Hanging Leg Raise (Cable Machine variation),Lower Abs,"Hip Flexors, Core",Cable Machine,Core,Advanced,5.2,3,8-12,4,6-10,5,4-8,180,"Shoulder injury, Lower back disc",0,0,175,Search: 'Hanging Leg Raise Cable Machine form' for technique guidance
350,Sit-Up (Barbell variation),Abs,Hip Flexors,Barbell,Core,Beginner,3.8,3,8-12,4,6-10,5,4-8,90,"Lower back disc, Sciatica, Hip flexor strain",0,0,140,Search: 'Sit-Up Barbell form' for technique guidance
351,V-Up (Machine variation),Core,Hip Flexors,Machine,Core,Intermediate,4.3,3,8-12,4,6-10,5,4-8,120,"Lower back disc injury, Hip flexor strain",0,0,158,Search: 'V-Up Machine form' for technique guidance
352,Standing Calf Raise (Resistance Band variation),Gastrocnemius,Soleus,Resistance Band,Strength,Intermediate,4.0,3,8-12,4,6-10,5,4-8,120,"Achilles tendinopathy (early), Calf strain",0,0,140,Search: 'Standing Calf Raise Resistance Band form' for technique guidance
353,Dumbbell Curl (Resistance Band variation),Biceps,Brachialis,Resistance Band,Strength,Intermediate,3.5,3,8-12,4,6-10,5,4-8,120,"Elbow pain, Biceps tendinopathy",0,0,122,Search: 'Dumbbell Curl Resistance Band form' for technique guidance
354,Barbell Deadlift (Dumbbells variation),Hamstrings,"Glutes, Lower Back, Traps, Core",Dumbbells,Strength,Advanced,8.3,3,8-12,4,6-10,5,4-8,180,"Lower back disc injury, Sciatica",0,0,315,Search: 'Barbell Deadlift Dumbbells form' for technique guidance
